ghn_ward_id,ma_xa,ten_xa,ghn_district_id,ten_huyen,ghn_province_id,ten_tinh,region,buu_cuc_ma,buu_cuc_ten,am_name,am_phone,nhan_vien,sl_lay,sl_giao
280130,16507,Xã Quảng Cát,1616,Thành phố Thanh Hóa,234,Thanh Hóa,BTB,20329000,Bưu Cục Khu Phố 1-TP.Thanh Hóa-Thanh Hóa,,,,,
XãLongĐiềnTây,,,,,,,TNB,20780000,Bưu Cục Quốc Lộ 1A-Khóm 5-Giá Rai-Bạc Liêu,,,,,
481113,26356,Xã Xuân Tây,1702,Huyện Cẩm Mỹ,204,Đồng Nai,DNB,21684000,Bưu Cục Ấp 8-Xuân Tây-Cẩm Mỹ-Đồng Nai,,,,,
480909,26503,Xã Phước An,1708,Huyện Nhơn Trạch,204,Đồng Nai,DNB,22508000,Bưu Cục Đường Hùng Vương-Xã Phước An-Đồng Nai,,,,,
480912,26497,Xã Vĩnh Thanh,1708,Huyện Nhơn Trạch,204,Đồng Nai,DNB,22508000,Bưu Cục Đường Hùng Vương-Xã Phước An-Đồng Nai,,,,,
170810,06871,Xã Phong Dụ,2019,Huyện Tiên Yên,230,Quảng Ninh,XBG,21401000,Bưu Cục 76 Thác Bưởi-Tiên Lãng-Tiên Yên-Quảng Ninh,,,,,
280132,16522,Xã Quảng Phú,1616,Thành phố Thanh Hóa,234,Thanh Hóa,BTB,20329000,Bưu Cục Khu Phố 1-TP.Thanh Hóa-Thanh Hóa,,,,,
70610,,Xã Ta Gia,2025,Huyện Than Uyên,264,Lai Châu,TBB,21448000,Bưu Cục Số 028 Thanh Niên-Than Uyên-Lai Châu,,,,,
270703,14638,Xã Ân Hòa,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
250920,13939,Xã Nghĩa Tân,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
250902,13936,Thị trấn Quỹ Nhất,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
230714,,Xã Tân Thành,1968,Huyện Lương Sơn,267,Hòa Bình,TNT,22721000,Bưu Cục 362 Quốc Lộ 6-Xã Lương Sơn-Hòa Bình,,,,,
381206,23770,Xã Ia Hrung,1793,Huyện Ia Grai,207,Gia Lai,TNG,20957000,Bưu Cục 153 Hùng Vương-Ia Grai-Gia Lai,,,,,
1B2622,10378,Xã Sơn Công,1810,Huyện Ứng Hòa,201,Hà Nội,HNO,20598000,Bưu Cục 43 Trần Đăng Ninh-Ứng Hòa-HN,,,,,
270406,14512,Xã Gia Minh,3191,Huyện Gia Viễn,233,Ninh Bình,TNT,20657000,Bưu Cục Điềm Khê-Gia Viễn-Ninh Bình,,,,,
270722,14668,Xã Tân Thành,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
270706,14689,Xã Cồn Thoi,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
250923,13948,Xã Nghĩa Thành,3243,Huyện Nghĩa Hưng,231,Nam Định,TNT,21461000,Bưu Cục QL37B-Thị trấn Liễu Đề-Nghĩa Hưng-Nam Định,,,,,
