warehouse_id,warehouse_name,warehouse_address,warehouse_category,latitude,longitude,area_manager_name,ward_name,district_name,province_name,region,area
21586000,Bưu Cục Đường 20/8-Phương Độ-TP.Hà Giang-Hà Giang,"Đường 20/8, Xã Phương Độ, Thành Phố Hà Giang, Hà Giang",buu_cuc,22.8260554,104.9606541,Tạ Thế Duy,Xã Phương Độ,Thành phố Hà Giang,Hà Giang,DBB,Bắc
22842000,Bưu Cục 25 Trần Hưng Đạo-Xã Yên Minh-Hà Giang,"Số nhà 23-25, Tổ 5, đường Trần Hưng Đạo, thị trấn Yên Minh, tỉnh Hà Giang.",buu_cuc,23.123063,105.128351,Tạ Thế Duy,Thị trấn Yên Minh,Huyện Yên Minh,Hà Giang,DBB,Bắc
20813000,Kho Chuyển Tiếp Tuyên Quang,"Xóm 6, xã Tràng Đà, TP. Tuyên Quang, Tỉnh Tuyên Quang",kho_chuyen_tiep,21.845475,105.208044,,Xã Tràng Đà,Thành phố Tuyên Quang,Tuyên Quang,DBB,Bắc
21159000,Kho Giao Hàng Nặng - TP Tuyên Quang - Tuyên Quang,"Cty TNHH SX&DV TM Trường Hải, Ngã 3 cầu Tân Hà phía bên kia Sông Lô, Tuyên Quang, Việt Nam",giao_hang_nang,21.845475,105.208044,Nguyễn Thị Huệ,Phường Tân Hà,Thành phố Tuyên Quang,Tuyên Quang,DBB,Bắc
21056000,Bưu Cục 305 Vĩnh Khang-Chiêm Hóa-Tuyên Quang,"305 TDP Vĩnh Khang, Thị trấn Vĩnh Lộc, Huyện Chiêm Hóa - Tuyên Quang",buu_cuc,22.143489,105.262146,Nguyễn Văn Phòng,Thị trấn Vĩnh Lộc,Huyện Chiêm Hóa,Tuyên Quang,DBB,Bắc
20881000,Bưu Cục Thôn Tân Hòa-Sơn Dương-Tuyên Quang,"Thôn Tân Hòa, Xã Phúc Ứng, Huyện Sơn Dương, Tỉnh Tuyên Quang",buu_cuc,21.69819,105.37408,Nguyễn Văn Phòng,Xã Phúc Ứng,Huyện Sơn Dương,Tuyên Quang,DBB,Bắc
22021000,Bưu Cục Số 8 Phan Huy Ích-Tân Hà-Tuyên Quang,"Số 8 Phan Huy Ích, Tổ 13 Phường Tân Hà, Thành Phố Tuyên Quang",buu_cuc,21.825232,105.197599,Nguyễn Văn Phòng,Phường Tân Hà,Thành phố Tuyên Quang,Tuyên Quang,DBB,Bắc
22919000,Bưu Cục Quốc Lộ 2-Xã Yên Sơn-Tuyên Quang,"Xóm Phú Thịnh QL2, Xã Thắng Quân, Huyện Yên Sơn, Tỉnh Tuyên Quang",buu_cuc,21.868495,105.14345,,Xã Thắng Quân,Huyện Yên Sơn,Tuyên Quang,DBB,Bắc
22887000,Bưu Cục Thôn Làng Chùa-Xã Lâm Bình-Tuyên Quang,"Thôn Làng Chùa, Đường Tỉnh 188, Xã Lăng Can, Huyện Lâm Bình, Tỉnh Tuyên Quang",buu_cuc,22.454764,105.230903,Nguyễn Văn Phòng,Xã Lăng Can,Huyện Lâm Bình,Tuyên Quang,DBB,Bắc
22020000,Bưu Cục Số 10 Phan Huy Ích-Tân Hà-Tuyên Quang,"Số 10 Phan Huy Ích, Tổ 13 Phường Tân Hà, Thành Phố Tuyên Quang",buu_cuc,21.825232,105.197599,Nguyễn Văn Phòng,Phường Tân Hà,Thành phố Tuyên Quang,Tuyên Quang,DBB,Bắc
2393,Bưu Cục Hàm Yên-Tuyên Quang,"Số 868 tổ dân phố Tân Quang, thị trấn Tân Yên, huyện Hàm Yên, tỉnh Tuyên Quang",buu_cuc,22.039025,105.037502,Nguyễn Văn Phòng,Thị trấn Tân Yên,Huyện Hàm Yên,Tuyên Quang,DBB,Bắc
22886000,Bưu Cục Đường Trần Phú-Xã Nà Hang-Tuyên Quang,"Tổ Dân Phố 14, Đường Trần Phú, Thị trấn Na Hang, Huyện Na Hang, Tỉnh Tuyên Quang",buu_cuc,22.336866,105.372164,Nguyễn Văn Phòng,Thị trấn Nà Hang,Huyện Na Hang,Tuyên Quang,DBB,Bắc
